_id,user_id,company,industry,job_title,years_experience,accepting_requests
1,1,Weber Group,tech,Ecologist,16,True
2,2,"Briggs, Porter and Chen",finance,Sport and exercise psychologist,1,True
3,3,"Bush, Davis and Moore",,Quality manager,9,True
4,8,"Jackson, Guerra and Perry",tech,Dentist,19,True
5,9,Bryant-Hamilton,,Immunologist,21,True
6,18,Robertson-Cook,consulting,Fisheries officer,19,False
7,23,Payne and Sons,consulting,"Designer, blown glass/stained glass",3,True
8,27,"Jones, Henry and Patterson",finance,Biomedical scientist,13,True
9,33,Larsen and Sons,tech,"Therapist, speech and language",13,True
10,34,Mason Ltd,,"Journalist, magazine",3,True
11,35,Oconnell LLC,tech,"Surveyor, land/geomatics",25,True
12,36,Acevedo-Wilson,tech,Estate agent,6,True
13,44,"Anderson, Good and Brown",finance,Secretary/administrator,1,True
14,49,Castillo-Armstrong,consulting,"Engineer, communications",4,False
15,50,Miller-Kim,finance,Comptroller,21,True
16,52,Reilly-Solomon,consulting,Retail banker,25,False
17,55,Hampton-Martinez,tech,"Psychologist, counselling",17,True
18,59,Malone-Mckinney,finance,Prison officer,14,True
19,60,Brown and Sons,tech,"Administrator, sports",8,True
20,63,Kennedy-Holmes,consulting,Consulting civil engineer,22,True
21,69,Jones Ltd,finance,"Engineer, civil (consulting)",19,True
22,73,Green PLC,consulting,Production engineer,17,True
23,75,Williams-Frost,consulting,Corporate investment banker,20,True
24,81,"Johns, Gutierrez and Riley",finance,IT sales professional,23,False
25,82,Wilcox-Whitehead,tech,Occupational hygienist,8,False
26,83,Braun Inc,finance,"Designer, multimedia",10,True
27,86,Murphy-Allen,finance,"Engineer, land",5,True
28,88,Hines-Church,finance,Network engineer,19,True
29,90,"Decker, Washington and Johns",finance,Aeronautical engineer,24,True
30,91,Miller Inc,tech,Landscape architect,18,True
31,92,Warren-Wong,,Cytogeneticist,21,True
32,93,Wang-Ramirez,,Operational investment banker,15,False
33,101,Young-Hudson,consulting,Human resources officer,22,True
34,102,Barber and Sons,finance,Financial trader,18,True
35,105,Kelly Inc,consulting,Microbiologist,21,True
36,106,"Graham, Baker and Choi",finance,Planning and development surveyor,23,True
